Dataset & Language & LASER2 & LaBSE & MiniLM-L12-multilingual & MPNet-multilingual & SGPT-BLOOM-7.1B-msmarco \\
BUCC & de-en & 99.21 & 99.35 & 97.11 & 98.59 & 54.0 \\
BUCC & fr-en & 98.39 & 98.72 & 94.99 & 96.89 & 97.06 \\
BUCC & ru-en & 97.62 & 97.78 & 95.06 & 96.44 & 45.3 \\
BUCC & zh-en & 97.7 & 99.16 & 95.63 & 97.56 & 97.96 \\
Tatoeba & sqi-eng & 97.22 & 96.76 & 98.17 & 98.57 & 10.38 \\
Tatoeba & fry-eng & 42.07 & 89.31 & 31.13 & 43.54 & 24.62 \\
Tatoeba & kur-eng & 19.09 & 83.59 & 46.94 & 61.44 & 8.26 \\
Tatoeba & tur-eng & 98.03 & 98.0 & 95.08 & 96.17 & 6.15 \\
Tatoeba & deu-eng & 99.07 & 99.2 & 97.02 & 97.73 & 70.1 \\
Tatoeba & nld-eng & 95.35 & 96.07 & 94.58 & 95.5 & 29.74 \\
Tatoeba & ron-eng & 96.52 & 96.92 & 95.3 & 96.43 & 27.23 \\
Tatoeba & ang-eng & 25.22 & 59.28 & 10.24 & 16.72 & 28.76 \\
Tatoeba & ido-eng & 80.86 & 89.42 & 40.25 & 43.91 & 43.91 \\
Tatoeba & jav-eng & 9.95 & 79.77 & 17.04 & 23.39 & 15.02 \\
Tatoeba & isl-eng & 94.32 & 94.75 & 24.07 & 59.25 & 6.29 \\
Tatoeba & slv-eng & 95.4 & 96.03 & 96.92 & 97.08 & 10.14 \\
Tatoeba & cym-eng & 5.85 & 92.0 & 13.25 & 22.31 & 6.97 \\
Tatoeba & kaz-eng & 53.3 & 87.49 & 34.89 & 61.49 & 3.32 \\
Tatoeba & est-eng & 96.43 & 96.55 & 97.33 & 98.4 & 4.76 \\
Tatoeba & heb-eng & 0.0 & 91.53 & 86.88 & 88.26 & 1.69 \\
Tatoeba & gla-eng & 1.52 & 85.66 & 3.61 & 4.72 & 2.09 \\
Tatoeba & mar-eng & 92.93 & 92.65 & 92.38 & 93.83 & 45.53 \\
Tatoeba & lat-eng & 64.81 & 80.07 & 19.47 & 24.25 & 28.76 \\
Tatoeba & bel-eng & 79.54 & 95.0 & 67.73 & 79.94 & 8.03 \\
