dataset,AlloProfClusteringP2P,AlloProfClusteringS2S,AlloprofReranking,AlloprofRetrieval,AmazonReviewsClassification,BSARDRetrieval,DiaBLaBitextMining,HALClusteringS2S,MLSUMClusteringP2P,MLSUMClusteringS2S,MTOPDomainClassification,MTOPIntentClassification,MasakhaNEWSClassification,MasakhaNEWSClusteringP2P,MasakhaNEWSClusteringS2S,MassiveIntentClassification,MassiveScenarioClassification,OpusparcusPC,SICKFr,STS22,STSBenchmarkMultilingualSTS,SummEvalFr,SyntecReranking,SyntecRetrieval
AlloProfClusteringP2P,1.0,0.3734877734877735,0.45094549499443826,0.43956043956043955,0.7346203346203346,,0.423274988282588,0.48599439775910364,0.7624649859943977,0.6019607843137255,0.587902187902188,0.6272844272844272,,0.6820728291316527,0.7095238095238096,0.5734877734877735,0.5541827541827542,,0.5750321750321751,0.557014157014157,,0.40875160875160876,0.41934223183447566,0.40714285714285714
AlloProfClusteringS2S,0.3734877734877735,1.0,0.207119021134594,0.532967032967033,0.4548262548262548,,0.27909372706710794,0.6703081232492997,0.280672268907563,0.5789915966386555,0.35315315315315315,0.35135135135135137,,0.1280112044817927,0.47086834733893557,0.3832689832689833,0.3963963963963964,,0.41132561132561135,-0.16293436293436295,,0.1425997425997426,0.18352531956549753,0.5357142857142857
AlloprofReranking,0.45094549499443826,0.207119021134594,1.0,0.9296703296703297,0.7883064516129032,,0.851324366560403,0.5973303670745272,0.32769744160177977,0.6845383759733037,0.8685483870967742,0.8475806451612903,,0.7615127919911012,0.6422691879866519,0.8911290322580645,0.8487903225806451,,0.8060066740823136,0.6814238042269188,,-0.06918798665183537,0.9327689509269512,0.8785714285714286
AlloprofRetrieval,0.43956043956043955,0.532967032967033,0.9296703296703297,1.0,0.621978021978022,,0.7142857142857143,0.532967032967033,0.35714285714285715,0.6263736263736264,0.8241758241758241,0.7450549450549451,,0.8681318681318682,0.7472527472527473,0.8197802197802198,0.832967032967033,,0.8516483516483516,0.6483516483516484,,-0.016483516483516484,0.9142857142857143,0.9235294117647059
AmazonReviewsClassification,0.7346203346203346,0.4548262548262548,0.7883064516129032,0.621978021978022,1.0,,0.7904222713062927,0.6389355742296918,0.5593837535014006,0.7924369747899159,0.8565670934091987,0.8952110004741584,,0.7585434173669467,0.7943977591036414,0.8800379326695116,0.85941204362257,,0.8136422136422137,0.6597168597168597,,0.23783783783783785,0.7241701699472683,0.6264705882352941
BSARDRetrieval,,,,,,,,,,,,,,,,,,,,,,,,
DiaBLaBitextMining,0.423274988282588,0.27909372706710794,0.851324366560403,0.7142857142857143,0.7904222713062927,,1.0,0.5867189919295472,0.35696274867155836,0.6926310162606689,0.8887744887782809,0.8810504926417374,,0.7240123568032235,0.6962734932879298,0.9091143452711791,0.8887744887782809,,0.8014933324353385,0.6755921954096782,,-0.05020597488753325,0.7962031933364038,0.6607142857142857
HALClusteringS2S,0.48599439775910364,0.6703081232492997,0.5973303670745272,0.532967032967033,0.6389355742296918,,0.5867189919295472,1.0,0.4218487394957983,0.7492997198879552,0.6445378151260505,0.6492997198879552,,0.35154061624649857,0.6467787114845939,0.6644257703081232,0.6128851540616247,,0.5963585434173669,0.22941176470588234,,0.1792717086834734,0.5873214022178573,0.5785714285714286
MLSUMClusteringP2P,0.7624649859943977,0.280672268907563,0.32769744160177977,0.35714285714285715,0.5593837535014006,,0.35696274867155836,0.4218487394957983,1.0,0.6375350140056022,0.41120448179271707,0.5134453781512605,,0.526890756302521,0.62296918767507,0.40980392156862744,0.3896358543417367,,0.24789915966386555,0.2977591036414566,,0.26442577030812325,0.20169614328485372,0.21785714285714286
MLSUMClusteringS2S,0.6019607843137255,0.5789915966386555,0.6845383759733037,0.6263736263736264,0.7924369747899159,,0.6926310162606689,0.7492997198879552,0.6375350140056022,1.0,0.7532212885154062,0.7915966386554621,,0.5330532212885154,0.865546218487395,0.749859943977591,0.7675070028011205,,0.6826330532212885,0.3787114845938375,,0.157703081232493,0.5863119120112265,0.6107142857142858
MTOPDomainClassification,0.587902187902188,0.35315315315315315,0.8685483870967742,0.8241758241758241,0.8565670934091987,,0.8887744887782809,0.6445378151260505,0.41120448179271707,0.7532212885154062,1.0,0.9570886676149835,,0.8187675070028011,0.8170868347338935,0.9784257942152679,0.9805595068752964,,0.8975546975546975,0.7657657657657657,,0.0435006435006435,0.862544297707086,0.7941176470588235
MTOPIntentClassification,0.6272844272844272,0.35135135135135137,0.8475806451612903,0.7450549450549451,0.8952110004741584,,0.8810504926417374,0.6492997198879552,0.5134453781512605,0.7915966386554621,0.9570886676149835,1.0,,0.8134453781512605,0.8184873949579832,0.959696538643907,0.9499762920815552,,0.8548262548262548,0.7387387387387387,,0.08674388674388675,0.8199676430117575,0.7147058823529412
MasakhaNEWSClassification,,,,,,,,,,,,,,,,,,,,,,,,
MasakhaNEWSClusteringP2P,0.6820728291316527,0.1280112044817927,0.7615127919911012,0.8681318681318682,0.7585434173669467,,0.7240123568032235,0.35154061624649857,0.526890756302521,0.5330532212885154,0.8187675070028011,0.8134453781512605,,1.0,0.764985994397759,0.8162464985994398,0.7983193277310925,,0.7523809523809524,0.8224089635854341,,0.1896358543417367,0.7793264395190544,0.7571428571428571
