Dataset & Language & Glove & Komninos & LASER2 & LaBSE & BERT & coCondenser-msmarco & SPECTER & SimCSE-BERT-unsup \\
AmazonCounterfactualClassification & en & 56.91 & 60.54 & 76.84 & 75.93 & 74.25 & 64.06 & 58.7 & 67.09 \\
AmazonPolarityClassification & en & 60.32 & 59.59 & 61.01 & 68.95 & 71.33 & 66.88 & 57.77 & 74.48 \\
AmazonReviewsClassification & en & 29.67 & 31.01 & 28.71 & 35.8 & 33.56 & 34.85 & 26.26 & 33.85 \\
Banking77Classification & en & 67.69 & 67.05 & 57.76 & 69.85 & 63.41 & 82.35 & 66.66 & 73.55 \\
EmotionClassification & en & 36.93 & 33.18 & 24.83 & 37.22 & 35.28 & 41.91 & 24.82 & 42.22 \\
ImdbClassification & en & 62.57 & 63.98 & 57.58 & 62.04 & 65.35 & 60.17 & 56.35 & 69.63 \\
MassiveIntentClassification & en & 56.19 & 57.21 & 47.91 & 61.46 & 59.88 & 70.4 & 51.73 & 59.84 \\
MassiveScenarioClassification & en & 66.03 & 66.11 & 55.92 & 66.41 & 64.28 & 73.73 & 58.58 & 66.25 \\
MTOPDomainClassification & en & 79.11 & 78.57 & 75.36 & 86.06 & 82.63 & 91.34 & 74.53 & 81.71 \\
MTOPIntentClassification & en & 55.85 & 57.07 & 49.47 & 63.03 & 68.14 & 71.07 & 50.05 & 59.23 \\
ToxicConversationsClassification & en & 65.4 & 67.76 & 54.05 & 66.9 & 70.0 & 64.01 & 57.44 & 68.82 \\
TweetSentimentExtractionClassification & en & 50.8 & 49.68 & 48.73 & 58.82 & 51.81 & 55.74 & 45.52 & 53.36 \\
ArxivClusteringP2P & en & 32.56 & 34.73 & 17.77 & 32.13 & 35.19 & 36.94 & 44.75 & 32.61 \\
ArxivClusteringS2S & en & 23.14 & 26.01 & 12.39 & 22.05 & 27.51 & 29.03 & 35.27 & 24.68 \\
BiorxivClusteringP2P & en & 29.27 & 29.76 & 12.4 & 29.84 & 30.12 & 32.35 & 39.52 & 24.9 \\
BiorxivClusteringS2S & en & 19.18 & 20.71 & 8.83 & 20.57 & 24.77 & 28.16 & 34.53 & 19.55 \\
MedrxivClusteringP2P & en & 26.12 & 26.65 & 17.91 & 30.13 & 26.09 & 30.23 & 35.04 & 23.6 \\
MedrxivClusteringS2S & en & 20.38 & 21.5 & 16.63 & 24.82 & 23.6 & 27.01 & 31.66 & 21.97 \\
RedditClustering & en & 28.46 & 28.84 & 9.96 & 28.79 & 27.24 & 48.04 & 24.13 & 32.18 \\
RedditClusteringP2P & en & 35.82 & 7.37 & 26.42 & 49.14 & 43.32 & 53.53 & 35.06 & 45.14 \\
StackExchangeClustering & en & 35.8 & 39.04 & 15.79 & 35.43 & 43.58 & 59.54 & 39.01 & 43.07 \\
StackExchangeClusteringP2P & en & 28.51 & 30.23 & 18.63 & 28.83 & 26.55 & 30.48 & 31.46 & 28.5 \\
TwentyNewsgroupsClustering & en & 25.83 & 27.42 & 11.38 & 23.28 & 23.35 & 38.68 & 24.22 & 23.21 \\
SprintDuplicateQuestions & en & 86.96 & 85.55 & 65.54 & 89.26 & 36.81 & 96.09 & 71.63 & 69.41 \\
TwitterSemEval2015 & en & 48.45 & 53.85 & 59.57 & 62.78 & 55.9 & 65.95 & 43.25 & 60.21 \\
TwitterURLCorpus & en & 77.35 & 79.41 & 81.47 & 84.58 & 76.29 & 83.17 & 69.22 & 81.37 \\
AskUbuntuDupQuestions & en & 49.57 & 50.88 & 48.99 & 52.75 & 45.84 & 58.99 & 50.07 & 51.57 \\
MindSmallReranking & en & 27.01 & 28.92 & 24.79 & 29.81 & 28.37 & 27.13 & 24.8 & 28.62 \\
SciDocsRR & en & 62.56 & 63.55 & 54.99 & 68.72 & 64.94 & 72.78 & 81.31 & 66.33 \\
StackOverflowDupQuestions & en & 34.03 & 35.65 & 36.98 & 42.42 & 34.62 & 48.48 & 36.22 & 39.35 \\
ArguAna & en & 36.3 & 30.96 & 12.86 & 34.18 & 28.29 & 45.15 & 32.67 & 38.34 \\
ClimateFEVER & en & 14.44 & 14.87 & 0.36 & 3.83 & 5.41 & 16.96 & 6.86 & 11.8 \\
CQADupstackRetrieval & en & 15.47 & 16.79 & 4.12 & 18.75 & 5.51 & 27.72 & 14.6 & 13.22 \\
DBPedia & en & 18.29 & 15.88 & 1.53 & 15.57 & 4.13 & 27.86 & 4.14 & 15.04 \\
FEVER & en & 14.99 & 15.56 & 0.77 & 12.17 & 3.3 & 45.68 & 5.45 & 21.05 \\
FiQA2018 & en & 10.09 & 10.49 & 1.73 & 7.0 & 2.19 & 15.62 & 5.64 & 9.84 \\
HotpotQA & en & 19.18 & 20.77 & 5.5 & 18.75 & 8.26 & 35.61 & 5.46 & 19.75 \\
MSMARCO & en & 9.6 & 9.75 & 1.09 & 7.6 & 1.91 & 29.57 & 5.58 & 9.35 \\
NFCorpus & en & 13.87 & 11.79 & 2.44 & 16.54 & 4.3 & 22.29 & 0.84 & 9.88 \\
NQ & en & 12.87 & 12.75 & 0.64 & 8.42 & 2.61 & 29.85 & 5.99 & 11.69 \\
QuoraRetrieval & en & 71.32 & 71.58 & 71.14 & 77.03 & 61.03 & 86.51 & 64.65 & 78.03 \\
SCIDOCS & en & 8.04 & 8.47 & 0.78 & 5.63 & 2.81 & 10.13 & 0.0 & 5.5 \\
SciFact & en & 29.58 & 29.53 & 4.04 & 38.2 & 13.34 & 52.31 & 47.88 & 25.72 \\
Touche2020 & en & 13.99 & 13.17 & 1.06 & 4.88 & 0.97 & 8.57 & 8.46 & 8.9 \\
TRECCOVID & en & 36.22 & 35.92 & 10.97 & 16.34 & 14.74 & 40.54 & 29.91 & 26.2 \\
BIOSSES & en & 44.93 & 50.25 & 62.01 & 78.7 & 54.7 & 77.32 & 64.95 & 72.31 \\
SICK-R & en & 55.43 & 55.49 & 62.86 & 69.99 & 58.65 & 72.0 & 56.39 & 72.24 \\
STS12 & en & 54.64 & 53.51 & 62.6 & 65.08 & 30.87 & 68.19 & 62.49 & 66.05 \\
STS13 & en & 69.16 & 70.8 & 59.62 & 67.98 & 59.89 & 80.4 & 58.7 & 81.49 \\
STS14 & en & 60.81 & 63.56 & 57.03 & 64.03 & 47.73 & 74.02 & 54.87 & 73.61 \\
STS15 & en & 72.31 & 74.08 & 71.57 & 76.59 & 60.29 & 82.57 & 62.54 & 79.72 \\
STS16 & en & 65.34 & 64.6 & 70.75 & 72.98 & 63.73 & 79.78 & 64.27 & 78.12 \\
STS17 & en-en & 77.95 & 76.91 & 76.73 & 79.45 & 64.1 & 85.94 & 69.63 & 83.58 \\
STS22 & en & 56.35 & 53.89 & -39.75 & 60.97 & 56.37 & 67.54 & 55.06 & 59.65 \\
STSBenchmark & en & 61.54 & 61.55 & 69.77 & 72.25 & 47.29 & 76.97 & 61.26 & 76.52 \\
SummEval & en & 28.87 & 30.49 & 26.8 & 31.05 & 29.82 & 29.5 & 27.66 & 31.15 \\
Average & en & 41.97 & 42.06 & 33.53 & 45.21 & 38.33 & 52.35 & 40.28 & 45.45 \\
